,id,uploader,time-from-upload,category,length,views-cnt,rating,ratings-cnt,comments-cnt,related-vids-cnt
1275,Fr_nAn_uo70,kushtv,983.0,Entertainment,92.0,3835,4.0,4,5,20
1276,70mlGW43hiQ,kushtv,1032.0,Sports,251.0,365,0.0,0,2,8
1277,2IWmLdXJHhU,kushtv,1056.0,Sports,259.0,164,5.0,3,1,0
1278,Ok_MqfnuOxc,kushtv,962.0,Sports,269.0,10089,3.14,7,6,20
1279,65A-DOqRfAc,kushtv,1127.0,Sports,212.0,1880,3.0,1,2,20
1280,uY_ErzKCoEM,kushtv,1016.0,Sports,345.0,417,3.0,2,1,8
1281,1bhcs_87NOQ,kushtv,967.0,Sports,260.0,35709,3.14,28,11,20
1282,IoooP-eyeic,kushtv,996.0,Sports,252.0,922,3.0,4,1,20
1283,H1QwMMjLITA,recordpool,1133.0,Music,243.0,1325,5.0,3,5,20
1284,UWA2cfWmoIk,youngkingz12,1134.0,Music,227.0,1541,4.4,5,5,20
1285,_vQ1P7aHgDA,Chaos33176,1098.0,Entertainment,354.0,6860,4.6,5,29,20
1286,IiK1WsClwuY,Chaos33176,1098.0,Entertainment,75.0,1928,5.0,1,5,20
1287,l8GNSphSSrk,ravi1992,1135.0,Music,227.0,244,4.5,2,3,14
1288,XHD5_dpXXDM,Chaos33176,1116.0,Entertainment,257.0,933,0.0,0,8,8
1289,1lePFL2z0Ug,8d193,1135.0,Music,227.0,718,4.67,3,2,14
1290,9T6ePuZoUtk,lacesfashion,1135.0,Music,227.0,512,5.0,1,5,14
1291,TDi3k-0qHaM,MadeByMee,1135.0,Music,227.0,393,4.0,3,2,14
1292,QPS6mW2vG2s,bhzin08,1136.0,Music,227.0,414,0.0,0,0,20
1293,H0Ddr5qu8xU,lololi45,1134.0,Music,227.0,117,5.0,1,1,20
1294,9pnmbIquRFI,TopyFreeqtlnh,1135.0,Music,227.0,222,5.0,1,2,20
1295,TzppVdSjwKM,ringtones1221,1135.0,Music,227.0,89,5.0,1,1,20
1296,VvVNZ1R7xPM,soniajohnson,1087.0,Entertainment,108.0,1204,5.0,3,5,20
1297,Fs04dVrBEKo,soniajohnson,1087.0,Entertainment,68.0,844,5.0,1,0,20
1298,C1tuE38-HME,Chaos33176,1135.0,Entertainment,174.0,228,0.0,0,7,20
1299,4dpDlMGKE2A,Chaos33176,1136.0,Entertainment,25.0,62,0.0,0,0,20
1300,yAFl5RgTM4E,Wolfwood824,960.0,Entertainment,492.0,914,5.0,4,2,20
1301,SpcvDfCXjfI,ZeromusX,935.0,Entertainment,455.0,536,5.0,3,2,20
1302,rvsWvMqBW6E,ZaffireWolf,1053.0,Comedy,606.0,1405,5.0,5,1,20
1303,CyrZR3BSH5o,paulpierce21,605.0,Sports,13.0,632910,2.59,1162,1124,20
1304,lgO8P__M_0Y,NBA,1124.0,Sports,142.0,253695,4.75,449,641,20
1305,R--NIgzhVo4,NBA,1125.0,Sports,123.0,221778,4.84,317,476,20
1306,yoQqCG4QlMw,NBA,1122.0,Sports,133.0,208431,4.73,253,422,20
1307,Uem8I4af_d4,NBA,1125.0,Sports,132.0,203587,4.56,267,527,20
1308,_FnwTj0OuFE,NBA,1117.0,Sports,129.0,242227,4.48,384,423,20
1309,lXN82kuefuc,NBA,1131.0,Sports,134.0,189610,4.8,333,565,20
1310,kdEULgZYxK8,NBA,1121.0,Sports,134.0,273375,4.53,364,576,20
1311,LZqNa8gBuQ0,NBA,1122.0,Sports,111.0,139914,4.47,251,244,20
1312,8NErNYSvoXo,NBA,1126.0,Sports,115.0,178527,4.57,245,342,20
1313,uyRr5GWOVxw,NBA,1130.0,Sports,125.0,218047,4.46,340,527,20
1314,L8jeYLD6ep0,NBA,1119.0,Sports,131.0,183325,4.43,286,407,20
1315,veIGD7PZgRA,NBA,1111.0,Sports,140.0,209858,4.81,406,574,20
1316,MShcKDNEIMM,NBA,1119.0,Sports,125.0,231532,4.64,338,369,20
1317,Z5gzABSZSX8,NBA,1113.0,Sports,133.0,217438,4.81,341,449,20
1318,M55YbS3De1w,NBA,1113.0,Sports,124.0,167543,4.59,335,322,20
1319,8Z9zX9G40P8,NBA,1111.0,Sports,133.0,231150,4.66,438,406,0
1320,aPg1yvj7thA,NBA,1118.0,Sports,132.0,207932,4.8,371,336,20
1321,Mf7Gpx-FpE4,NBA,1115.0,Sports,130.0,109177,4.84,292,356,20
1322,w3qyXe65iWw,NBA,1129.0,Sports,135.0,117343,4.81,298,395,20
1323,suonY2pakOA,InternationalGoalz,1135.0,Sports,119.0,1906,3.67,3,0,20
1325,pjJqoHPfAYo,swaykg,1135.0,Sports,44.0,10873,4.88,25,42,20
1326,eHT8dDjvhP8,Mill3,770.0,Sports,9.0,2493,5.0,2,2,20
1327,b0dHzSCrSTk,mhf1029,770.0,Sports,102.0,5066,4.8,10,5,20
1328,011bZQK8XR8,andr3sfc,770.0,Sports,250.0,32131,4.74,19,13,20
1329,nMdp_QiA62E,lucalciotv,1135.0,Sports,83.0,4919,5.0,8,8,20
1330,XQw2p5_wVog,jasonkarlmarx,1086.0,Sports,94.0,56395,4.33,57,110,20
1331,5ffuzbk-4zw,celocrftv,937.0,Sports,348.0,11186,4.44,9,23,20
1332,Nqf9Qvv-8Ls,SteauaOnlineCom,721.0,Sports,73.0,3678,4.83,12,5,20
1333,ihsfQxZ3Y8c,seoirse777,1087.0,Sports,36.0,1148,0.0,0,0,20
1334,FC5L2rgBmyg,bl4ckw0rld,1027.0,Sports,33.0,739,5.0,1,0,20
1335,V87j3RGKesc,faithful41720,1109.0,Sports,21.0,328,5.0,2,1,20
1336,JQHCN7llkMw,MrGhaa,1096.0,Sports,48.0,253,0.0,0,0,20
1337,jWLqji_A7B8,w1ll14m,1044.0,Sports,180.0,3653,3.0,5,1,20
1338,4OYZLDSVyrs,MatijaR10,768.0,Sports,43.0,3228,5.0,1,1,20
1339,3fMzE-I8PN4,KICKABOLAdotCOM,721.0,Sports,152.0,19681,4.84,25,65,20
1340,3kKjC6ZFz7I,cezo007,937.0,Sports,30.0,7925,4.25,8,3,20
1341,ip1G6JCKGc4,kid76kid,1064.0,Sports,49.0,338,0.0,0,2,20
1342,0HheRPnqkT4,caffeinemetal,721.0,Sports,73.0,2722,5.0,7,4,20
1343,cyz7w4aLZiY,pussycatdollsworld,1135.0,Music,15.0,305,0.0,0,0,20
1344,0WbI0rZvrG8,samab15516,1133.0,Entertainment,30.0,679,4.0,1,0,20
1345,ZpzZp2dm5wo,digitalhoodlum,770.0,Music,308.0,34395,4.61,61,63,20
1346,ACbk87esiAA,itesd5f51,1133.0,Entertainment,29.0,288,0.0,0,0,20
1347,MLkGZgpsu-c,samabf281f,1132.0,Entertainment,30.0,112,0.0,0,0,20
1348,MTw1jmMHIcU,rothiac80a1,1133.0,Entertainment,30.0,207,0.0,0,0,20
1349,iT-QzmCPlso,ildiwc026,1133.0,Entertainment,30.0,157,0.0,0,0,20
1350,up54Jrptzqk,digitalhoodlum,770.0,Music,332.0,14754,4.85,47,45,20
1351,WjNU24ltvR4,altitudetv,1129.0,Music,191.0,223,0.0,0,0,20
1352,v1lylYF1L0I,digitalhoodlum,770.0,Music,318.0,1436,5.0,1,1,20
1353,Wg0pDpM6_oM,digitalhoodlum,770.0,Music,208.0,960,3.5,2,2,0
1354,b9o-1y5PtDg,hollywoodtv,1128.0,Entertainment,163.0,546,3.67,3,6,20
1355,NsZHmifwamE,kayvontv,870.0,Comedy,228.0,14820,3.07,41,16,14
1356,SzYF3_7VnUo,playboy,764.0,Entertainment,225.0,391060,2.46,528,4,20
1357,AIiMa2Fe-ZQ,barelypolitical,1080.0,News & Politics,90.0,3695341,3.37,4899,4164,20
1358,u4HU_l5u0h4,94melee,1081.0,News & Politics,90.0,109155,3.77,144,146,14
1359,8Bpojk-NDuk,hansinfann,1085.0,Entertainment,54.0,8106,4.67,3,5,14
1360,VIgHXH3shEw,sbloob,1083.0,News & Politics,74.0,4256,3.75,4,4,20
1361,YRBec3jUg1M,obamaguy,1082.0,News & Politics,10.0,3708,5.0,1,14,20
1362,i8fs32KfiNM,AxiForum,1082.0,Film & Animation,90.0,5720,3.67,6,7,20
1363,QoKQMhQkZqM,mrmoneyun,1080.0,Entertainment,62.0,183,0.0,0,0,8
1364,ajRufWkca74,XboxBrain,1087.0,Entertainment,91.0,178,0.0,0,0,8
1365,AvLs3buFTnU,secretsofwealth,1122.0,News & Politics,91.0,82,0.0,0,0,20
1366,urhjkVO_t3A,hansinfann,1085.0,Entertainment,47.0,1271,1.0,1,1,20
1367,NJwShg2rBF0,thizzbabi123,1047.0,Music,264.0,12307,2.21,14,6,20
1368,YwTW_NxJLf8,mrdollarun,1080.0,Entertainment,62.0,1679,0.0,0,0,20
1369,TdAVOnHwj18,mrdollarun,1080.0,Entertainment,62.0,1598,0.0,0,0,14
1370,wEm3akbn4zQ,mrdollarun,1080.0,Entertainment,62.0,878,0.0,0,0,20
1371,fvOmbvC3IvA,mrdollarun,1080.0,Entertainment,62.0,313,0.0,0,0,20
1372,Sk-7SnKuigg,mrmoneyun,1080.0,Entertainment,62.0,445,0.0,0,0,20
1373,DDOk4MTCHUU,mrmoneyun,1080.0,Entertainment,62.0,351,0.0,0,0,20
1374,v28Fks7zOG8,mrdollarun,1080.0,Entertainment,62.0,75,0.0,0,0,20
1375,7jaGfBJlEYE,mrmoneyun,1080.0,Entertainment,62.0,78,0.0,0,0,20
1376,lDVCv-AEKyk,mrmoneyun,1080.0,Entertainment,62.0,178,0.0,0,0,20
1377,NK-AbaAPbVI,bryan92i,1135.0,Sports,92.0,4366,5.0,15,4,14
1378,wod4OXI8zuU,bryan92i,1135.0,Sports,146.0,1153,4.8,5,4,14
1379,DuypuVi4J9E,francilienne,1135.0,News & Politics,21.0,1245,5.0,4,5,20
1380,ePacifaFVAs,Hermann59310,1134.0,Sports,228.0,39034,4.93,193,357,20
1381,yBzVzMRpZTs,lepiqueur,1135.0,Sports,119.0,6682,5.0,18,19,14
1382,V1gulLoReVI,clay2nine,830.0,Music,310.0,10778,4.29,14,3,20
1383,dOIaTgGzGJo,ODestre,997.0,Sports,176.0,66,5.0,1,0,20
1384,aGwx_mwN5TM,allezpedro014,1135.0,Sports,198.0,2865,5.0,5,7,14
1385,0xXx0eBKmP0,kamelihno,601.0,Comedy,27.0,961,1.0,1,1,0
1386,2Eynf7VqvTw,faridouxjudoka,1111.0,Sports,142.0,115,0.0,0,0,20
