,VID_ID,UPLOADER,INT_AFT_EST(m),CATEGORY,LENGTH(m),NO_OF_VIEWS,RATINGS(/5),NO_OF_RATS,NO_OF_COMS,REL_VID_ID,POPULARITY
264,92KZt9gYqZk,DaniiDeanwnsyuv,1135.0,Music,243.0,35163.0,4.68,192.0,240.0,"['92KZt9gYqZk', 'DaniiDeanwnsyuv', 1135.0, 'Music', 243.0, 35163.0, 4.68, 192.0, 240.0, 'aetA__BXplg', 'h_aiawC-9aM', 'zv4spX-VBak', 'vONuoewjesY', 'hTj6ieUXcU8', '9IwLGLdU4II', 'QpX-kndqHnE', '7-Trlse6B9g', '16F76Li-w_E', 'QeLRteOgxeU', 'B7qcTm5fHRc', 'o2-vlyNPaYI', 'I7iPSp9VRFo', 'Oct5i7Tvk94', 'lEGHagps1Mc', '3jUT5KXh5es', '2-tOL6R45Ig', 'JfD6KbvJDsc', 'o6yFvzZx7A8', '82GOLodIOgA']",271.0049917400881
3623,Ky1roFIJ6UE,Limuri,645.0,Film & Animation,231.0,75160.0,4.84,340.0,154.0,"['Ky1roFIJ6UE', 'Limuri', 645.0, 'Film & Animation', 231.0, 75160.0, 4.84, 340.0, 154.0, 'ES8zyhiOyZ8', 'tyUXmYQDGbA', '5lZaNDNo02s', 'Q8QBwkWj70Q', 'lBaSAkDjw8A', 'GxLSXL4_u-g', 'eLyUHurqOBA', 'yvBIWZkyTTI', 'JngWnII7RV4', 'USXu0GGFpVU', 'XM1iUHo4Ryk', 'OLvCsesbtRI', 'oIiIGYYNYKQ', 'ZXNzqUWzgDw', 'IZwrIYTRg8w', 'DP79KwJVCJk', '6S7IBBtumL4', 'ea1YXNBpZV8', 'cxeAmHTc7pY', 'meTCr5oqzMQ']",270.5413670770634
2680,SDsc1MRkvZw,fpws,451.0,Music,453.0,68462.0,4.86,184.0,118.0,"['SDsc1MRkvZw', 'fpws', 451.0, 'Music', 453.0, 68462.0, 4.86, 184.0, 118.0, 'o7RFe9mzXHQ', 'hYyI_D4FuNc', 'b9UX6SYUSZc', 'uxRQ3g23oK4', 'AgwICbUB2fM', 'CWgn-ikHUIc', 'eOgSdoVUNyU', 'vZfw5yy2vMM', 'K3m5pIeREHU', 'hyTAoMN6pBs', '3xy2oJL4M6c', 'ygXGdmADNJI', 'Dr77DkxyAxo', 'wuC3HZhjANU', 'SLu8M2nFIO4', 'EcLjLqBX8cQ', '5XaeFcWPGXE', 'UUqPBQ53eis', 'Oy3unVMyM6U', 'tbvOCUQcVlU']",269.8268565024583
1221,CQMUSoQChy4,modernoracle,942.0,Music,271.0,3350.0,4.82,233.0,265.0,"['CQMUSoQChy4', 'modernoracle', 942.0, 'Music', 271.0, 3350.0, 4.82, 233.0, 265.0, 'P6ipuXvYGGg', '0wWHz_EBskk', '9YjcyTXM-Wc', 'FAkoeXTXq6U', 'DGrD3ECzqAg', 'OXVQsK8hhpM', 'vgaQ8SR_q4A', 'AVA1tkyOims', 'MIVD71pHgp4', 'BXgHiwImVOU', 'Otpw21MhJh4', 'HUrhDa6v-04', 'ctkxZ4vUmxI', 'dW3_feB5bPY', '5hnbIveEgww', 'DqGOrdTKpX8', '6pHfIEG7dtU', 'QMm2Mo1UNkc', '3oxShBwP6Lk', 'XoyuNkRw25c']",268.576949964918
3639,37J1QSHt4dQ,4k4rii,926.0,Film & Animation,429.0,63666.0,4.61,161.0,198.0,"['37J1QSHt4dQ', '4k4rii', 926.0, 'Film & Animation', 429.0, 63666.0, 4.61, 161.0, 198.0, 'et4_4hvY4PA', 'VxI_vXlWvvQ', 'S2gYL4gbGCs', 'rU6tdu1u0Ok', 'Z5rHlnPOSAM', 'UR8kGuPPfA8', 'Sk1SgCVDhiw', 'm73iRWXFqTA', 'X0Ks1SNh-KY', 'yo64y5oLWIM', 'JMXgZyUwc_s', 'f0k9k6oGsfk', 'LNUbpe1ltJE', 'uwav3Y-2SBQ', 'u8le6fOMZH0', 'VOVtlX59f8g', 'Jjlng4dQr0A', 'pMa5d43OrIk', 'NmXCDCBMvLo', 'hY3onJoS8c0']",266.7824132379969
1707,Tqm1HxX_Vq8,Catesandwhatnot,780.0,Pets & Animals,26.0,107319.0,4.45,127.0,126.0,"['Tqm1HxX_Vq8', 'Catesandwhatnot', 780.0, 'Pets & Animals', 26.0, 107319.0, 4.45, 127.0, 126.0, 'oDjKKOIKdA4', 'JuJYTKnA3e8', 'Qp5DkqAxvAI', '312Snz3_UKc', 'Z-hT018rpBs', 'HTiQDyVv7KQ', 'e7PwTtbEKqw', 'Nm8_HRelHcQ', 'L6QhIecMjZs', 'qaXmSxcdO5w', 'WElJp2Hj56U', '9AUZ3O1i7G8', 'WxqQje4vrbc', 'dU64WyOS-Ok', 'd5Q9WaIQEqI', 'ubqKKbfC3gk', 'A-frIxbvcg8', 'B4W__BgHJ-Q', '1LMjtCcSZ1g', 'S1pqHwqygAY']",263.6235009085403
938,j5NDwfk-ah8,takaraimidget,692.0,Music,261.0,54965.0,4.86,216.0,181.0,"['j5NDwfk-ah8', 'takaraimidget', 692.0, 'Music', 261.0, 54965.0, 4.86, 216.0, 181.0, '#NAME?', 'ZlP2X7ybja8', 'qH3GHaJF_QI', 'vaveSrfDP1I', 'Jnpkw8d3D8k', 'LPnJvadfIug', 'mPZ4YGM2eHk', 'HhyX0C9mF4A', '7s1IwKCd-CY', 'MhtiCA5e87E', 'pK6r1M8420I', 'iCTrSL9i1EM', '2slwl5EGsvw', 'tB5eEv11KXg', 'IENZP0Ekijc', 'q756XDyfxf0', 'e3_n7j2NQTQ', 'MCXv5SGaqoE', 'KF4NZMDYv-8', '1snPQnvx1nw']",260.4516907514451
3694,#NAME?,mattharding2718,1001.0,Travel & Events,144.0,177625.0,4.43,166.0,82.0,"['#NAME?', 'mattharding2718', 1001.0, 'Travel & Events', 144.0, 177625.0, 4.43, 166.0, 82.0, 'f7zquZqyBzE', 'CQIHiNrQ9Kc', 'IhtNcmXPg3w', '45k0Qr_4Hf4', '0CNgwZgoKFc', 'aReauoI-JC8', 'lbCuCkfozbg', 'bNF_P281Uu4', 'HSVklG_Asec', 'WwqPOkcXrYQ', 'qfZ9YwSZATI', 'RST3hJoKNYo', 'oJvq_-Q9yWM', 'ywv85UIx-98', 'iIDHEiB_PDA', '5u8wqbe5bs4', 'CMSJ93E30G4', 'Tq8MNXF5g58', 'NkVtaxGMyr0', 'Zj2kJ6ZITKo']",259.4742391945404
2534,I_y2j6vsQ4I,scienlologyx2,1073.0,Entertainment,60.0,36906.0,4.88,375.0,224.0,"['I_y2j6vsQ4I', 'scienlologyx2', 1073.0, 'Entertainment', 60.0, 36906.0, 4.88, 375.0, 224.0, 'eBGIQ7ZuuiU', 'l3vek-CVNFg', '0md6Flcrd0s', 'NIyWxCTWQoM', 'rtFotf7NEWg', 'o3lTL4fwMnw', 'oHg5SJYRHA0', 'b1WWpKEPdT4', 'ACDAJB4-I1o', 'BJkxilXekyI', '_uIhmHl8EYQ', 'ZBDzzL3Kzpk', 'kEUldKrviIM', 'aD4bn5pp32w', 'OHpjcZNM8_k', '4udUvxX8upE', 'f2b1D5w82yU', 'EeuEMeg8eQE', 'roIzM_GZMks', 'yBOPCOkZUVM']",258.40816710779745
293,n6nBHKz30UQ,xiaoqiann,798.0,Entertainment,120.0,72349.0,4.78,121.0,167.0,"['n6nBHKz30UQ', 'xiaoqiann', 798.0, 'Entertainment', 120.0, 72349.0, 4.78, 121.0, 167.0, 'DBaaMNnewnE', 'rqwMi3PmQG0', 'TvtkhkYNsok', 'LScKdk6aWEs', 'lfQ5I2FEFZo', '2WRvEAxeGvg', 'L4DICgyB6JE', '7nIiTqcYMyg', 'aW5_RR0Dzt4', 'LhcTuuAQeig', 'aIr1_n1bRAY', 'Tkw9bSMRkyg', 'YluDS-6LoB4', 'S00MI_yPXXY', 'hgz1QxRtNoc', 'wUurtulXrnI', 'HQEK2_udms8', 'JFBHPbEtfqA', 'sXPi6Fjmhi0', 'FgDfS5qIz2E']",257.70241140040184
3588,ZPyq_6c5tZc,thegoldglove07,1058.0,Entertainment,569.0,11801.0,4.56,94.0,246.0,"['ZPyq_6c5tZc', 'thegoldglove07', 1058.0, 'Entertainment', 569.0, 11801.0, 4.56, 94.0, 246.0, 'kZ79IUl1I4E', 'sMSbc_5i8UA', 'sNSxUqe91tA', '_ChvTSQa-rM', 'bIagNY_OTR8', 'ph22o-haMHw', 'YW38AKMyNHk', '6m5GV66sw20', '8nfF6aEEY-o', 'tArrIBuVZoc', 'bqoskpiPBB8', 'YfbIOincNwg', 'smDxVwCklsg', 'NDAg9JsAt7M', 'uW6bJBmGn7o', 'EZs725f_TTA', 'dXHNK6vA8Ck', 'yui_3kPE1LU', 'N4mo9ZIHLSw', 'tlscO1q-yBQ']",257.2025749105096
1977,vEdZV6Zitnw,Rgal73,683.0,Entertainment,29.0,120863.0,4.86,88.0,79.0,"['vEdZV6Zitnw', 'Rgal73', 683.0, 'Entertainment', 29.0, 120863.0, 4.86, 88.0, 79.0, 'XyVaNWsoecU', 'Kl07j6qohAA', 'Qm9pmMgtXdw', 'xVQb4EYLqUs', 'Mw2wXPESpRE', 'BdweUSgBSHY', 'RRC6OAsaY5s', 'jWLcC1W6dQs', 'UWjWbSxWRSo', 'glKSPA8ISi4', '4hd0iBmBhrA', 'TmsPHm6Gb84', 'Tjg0qKMFLuA', 'cbPx9CCsA7w', nan, nan, nan, nan, nan, nan]",256.0142316651138
2748,pljZszV4XU4,jadedgal89,647.0,Entertainment,599.0,140197.0,4.89,105.0,39.0,"['pljZszV4XU4', 'jadedgal89', 647.0, 'Entertainment', 599.0, 140197.0, 4.89, 105.0, 39.0, 'TJxjc38Aizc', '7inNsXwoxoo', '7QzllT6nPOs', 'EjxejBpbnxs', 'dNDKSXp-6Ww', '6efLvjvtns0', 'P5yIzU2K3Fk', 'IqVvu17cEY8', 'lJBIrsXEiwU', 'bKvztNm6uk0', 'RudZmeUooBM', 'JzHMvzaRbAs', 'WLInj4gd0VE', 'VtBhBmyJRaw', 'qPNqT2Ni83g', 'kW-7fiEjjoQ', 'e9XU0nEImxE', 'ghpAv8716ck', 'o7i7jYG7Kn4', 'ouLKQEledy0']",255.7343612276441
2929,TLmM87r1ft4,digitaldave1234,831.0,Entertainment,284.0,186387.0,4.68,611.0,31.0,"['TLmM87r1ft4', 'digitaldave1234', 831.0, 'Entertainment', 284.0, 186387.0, 4.68, 611.0, 31.0, 'OVDfk0kQEuQ', 'OSrBftHfmUI', 'DCyPTM2FJgA', 'Q052CVnDSBI', 'nJ-xoIziMmQ', 'wRDsZJ6edCM', '185Na2vz3D8', '0pxW6Y4gYIU', '0fT7adlDfGQ', 'B9VHqPvsoGs', 'Pl4Hggd8QJo', 'cWUp2MhVvwQ', 'RkBiYpD3SDc', 'qz9uLFdfacM', 'VuzFzs0hPKc', 'yH8b5ruc_-E', 'PkEKIw0FU6Y', 'zxX0DKE3oqw', 'kYfibSaDHrM', 'leEsz9ci5XE']",255.30007834703125
159,Y9LbqKVTXMo,seeso,1004.0,Music,166.0,7001.0,4.88,203.0,245.0,"['Y9LbqKVTXMo', 'seeso', 1004.0, 'Music', 166.0, 7001.0, 4.88, 203.0, 245.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",251.99714697858812
2325,xIhPdbLD26o,VancouverFilmSchool,1022.0,Entertainment,81.0,117003.0,4.02,171.0,136.0,"['xIhPdbLD26o', 'VancouverFilmSchool', 1022.0, 'Entertainment', 81.0, 117003.0, 4.02, 171.0, 136.0, 'ONqgaVU_XPk', 'aZB0no_RCMs', 'lYsZRnNdBns', 'VaDtbwkTlBI', 'u30z4a_j2d0', 'sq7XbKd321I', '011Xn0vjVHI', 'z8B4WB4j8uk', 'mYIarTjO1fM', 'fsVui1q_vdY', 'UtEZzwRruZc', 'xrgmoPotixc', 'TA9BSkQgrGs', '_tF-DJoBxDQ', 'OWysPqCTWIo', 'CTD0Y46hs2Q', 'SXAR_TcOEqA', 'WMdW4HrmhME', 'xaLtb5cB0Pg', 'RTANwqMhmsI']",250.5078531946304
1142,_LZel6Mu_xE,diegomaltaespinoza,769.0,Music,391.0,142839.0,4.98,164.0,64.0,"['_LZel6Mu_xE', 'diegomaltaespinoza', 769.0, 'Music', 391.0, 142839.0, 4.98, 164.0, 64.0, 'Z9N_7Eud_4o', 'x6mf9ubjHpQ', 'rl8IDPNBb2U', 'A48lca-KJNs', 'mqnVdL4E8Zg', '1t7AGdEaBTY', '5jl29CyHnH0', '4sVBMkCkJz8', 'LDgWD26Lnhw', '4VXXDaLYGQI', 'adPBI9ZLDSU', 'ePWfD8P4mpA', '759mkLBqezI', '4YcIYtYPxds', nan, nan, nan, nan, nan, nan]",249.77678978083668
2344,08hU_p48YBI,FrankieThaLuckyDog,1077.0,Music,536.0,148918.0,4.52,152.0,111.0,"['08hU_p48YBI', 'FrankieThaLuckyDog', 1077.0, 'Music', 536.0, 148918.0, 4.52, 152.0, 111.0, '5ykrFdSwyrY', 'LZISIg4peSI', 'H6zYbbAWtno', 'UyTXIwuPDb8', 'jcC5-phJBsc', 'PpPabjtVxcg', 'MKovL4iKiAY', 'i19IEAwLmQQ', 'HzeZhCt5PVA', 'Or-PajUn1c4', 'rP3qL4UG1TI', 'vQbYvjmfbr4', '1F2uD5BjfEw', 'jQDhO_NgYH0', nan, nan, nan, nan, nan, nan]",249.30086033328445
915,6sIB2kL-BWc,Timacious,1017.0,Entertainment,273.0,163516.0,4.51,208.0,88.0,"['6sIB2kL-BWc', 'Timacious', 1017.0, 'Entertainment', 273.0, 163516.0, 4.51, 208.0, 88.0, 'dxgPX5-cmvc', 'wXiMs65ZAeU', 'C9PTewrJuu0', 'o_mo9VsUWK8', 'B1SBjcQj3ME', 'VEiEBEadZFI', 'NgyNLQe8qX0', '1xC6QCiz2Ng', 'b-IRI1bA5jw', 'QAiiQRjzG3U', 'hxPljW2gaOM', 'jFXw0cDC-A4', 'h-DAFkXRhkk', 'LA4Xx5Noxyo', nan, nan, nan, nan, nan, nan]",248.8043768909311
148,qB_YqEk15e0,bharatamata,1126.0,News & Politics,129.0,4123.0,2.82,101.0,245.0,"['qB_YqEk15e0', 'bharatamata', 1126.0, 'News & Politics', 129.0, 4123.0, 2.82, 101.0, 245.0, 'pcfQ8GA063c', 'hKcRTfpogAM', 'QUGTereCR1w', 'BPNQHq5-XTQ', 'x9QNKB34cJo', 'onB7pIT4mKo', 'y6O0SIlm-Bs', '17DdYSwLH3A', 'bzi-4OG6QsE', 'xa9tU-muEms', 'nE5Luk224dU', 'iDdeW2qhZ2M', 'pc8UY801STw', 'HWizzsSkOh0', 'VnreUfeVIsE', 'rLN4KWxqZ-0', '0fPE_65a5Ww', 'HjRdm13fWYo', 'eUZk2xoYJYk', 'SNRuYz2LmjE']",248.68955489509875
2371,s92LY161Gww,jonathanroy30,1133.0,Sports,38.0,50474.0,4.45,33.0,204.0,"['s92LY161Gww', 'jonathanroy30', 1133.0, 'Sports', 38.0, 50474.0, 4.45, 33.0, 204.0, 'ZaDu9qYcPXM', 'tQDPUd5_sak', 'ESHa9-Czv_A', '5ST_-yhbhgw', 'ilVrpuJLcjE', 'tsZarzNGvW8', '91AE-wWLEqE', '6C9zp8f2AS8', '0gQrZ-48rFc', '43AG2HNdPXc', 'sWRBsYzG_rw', '13n5LV88mpE', 'LLwR1uTZwR4', 'nVIG7RMif6s', nan, nan, nan, nan, nan, nan]",248.68383348043542
3714,z-g1ScRlQdM,oddgirloutthere,706.0,Entertainment,625.0,48957.0,4.92,222.0,179.0,"['z-g1ScRlQdM', 'oddgirloutthere', 706.0, 'Entertainment', 625.0, 48957.0, 4.92, 222.0, 179.0, '6aj4oDW43VM', 'hFSUfKIA--U', 'c8PM8ZK-GBo', 'rvS-hZNRRuY', 'mtC5AAGB1y0', '7t3TK_qLgUI', 'KO5pox2Pl4g', 'SwH4eeGIQ2I', 'G2wiGCdYoYY', 'HpYqzqKFf4c', 'BoNM-9phbKM', 'oaUkJEKcY5E', 'bh6fAgtekFI', 'zEqrViynPwU', 'YLSiArb3WVg', 'MngkJX-QVcs', 'EFooJ1L2FbY', 'wVDVH-2igbw', 'VBbq6Sxpdjk', 'DsqIr2bcX7w']",248.36635479672307
49,IxVsdS887HA,wazolangu,1130.0,News & Politics,39.0,44203.0,4.72,184.0,208.0,"['IxVsdS887HA', 'wazolangu', 1130.0, 'News & Politics', 39.0, 44203.0, 4.72, 184.0, 208.0, 'D01Wa2PLquU', 'UGwVpRwRmm0', 'FgboYZgt-ag', 'a0nkZ8Xcb3E', 'Wl_RpElD-gs', 'P2FgtHeX3LY', '8EENUb2mQlw', 'J9Oi_iZJjDE', 'rn8O82KmDVA', 'T3depGF5E-0', 'U2rtBUfc6YA', '3bayIXAaPm0', '0oo_jFPyaCo', '9fKr2qAg72E', nan, nan, nan, nan, nan, nan]",247.1433512889573
1358,u4HU_l5u0h4,94melee,1081.0,News & Politics,90.0,109155.0,3.77,144.0,146.0,"['u4HU_l5u0h4', '94melee', 1081.0, 'News & Politics', 90.0, 109155.0, 3.77, 144.0, 146.0, 'AIiMa2Fe-ZQ', 'wKsoXHYICqU', 'IoYeX1Ngf5Y', 'ENCRu-2d35g', 'ekSxxlj6rGE', 'ot4jFZ_owhs', '3uaqG0eWCcw', 'dyjXt1zSXHU', '1zMeHfxhJbw', '86HEv_Wtyj8', 'rOnn1hWN-Og', 'jLSWudoqtWE', 'XFnzbjftMwc', 'jjXyqcx-mYY', nan, nan, nan, nan, nan, nan]",247.00212875167028
2328,_tF-DJoBxDQ,VancouverFilmSchool,1099.0,Film & Animation,103.0,123057.0,4.25,313.0,133.0,"['_tF-DJoBxDQ', 'VancouverFilmSchool', 1099.0, 'Film & Animation', 103.0, 123057.0, 4.25, 313.0, 133.0, 'ONqgaVU_XPk', 'I2ksOtvLg_Y', 'xrgmoPotixc', 'ltgnkno__8g', 'lYsZRnNdBns', 'G67qUno5lDo', 'z8B4WB4j8uk', 'SXAR_TcOEqA', '011Xn0vjVHI', 'mYIarTjO1fM', 'xaLtb5cB0Pg', 'fsVui1q_vdY', 'STrX0yRl9Is', 'sq7XbKd321I', 'oeha0nmUaDY', 'YThP1QkPM78', 'aZB0no_RCMs', 'u30z4a_j2d0', 'uN6-wo-yC0A', 'f1lkEgKzix4']",244.9853708134319
888,7XqBNHKpR64,RockItMeights,952.0,Music,210.0,71269.0,4.91,239.0,168.0,"['7XqBNHKpR64', 'RockItMeights', 952.0, 'Music', 210.0, 71269.0, 4.91, 239.0, 168.0, 'qk-_QVZrinM', 'oXYelWnjgIc', 'lQeosbQBSqo', 'IlZMolKGebY', 'snajjImLP1g', 'UQa1y4AoHZs', 'VzikYJ7f78I', 'PmWoASCTqsA', 'zLLOLwxr3pk', 'ldxX2nx22ok', 'E6s8C2DvfGo', '4C_oHwLcivY', 'xO9LkY69Sk8', 'Rqqr3-I7-Tw', nan, nan, nan, nan, nan, nan]",242.8829388910376
2362,SeHXpWkRkxo,TgirlQueensland,1129.0,People & Blogs,57.0,116712.0,1.62,325.0,139.0,"['SeHXpWkRkxo', 'TgirlQueensland', 1129.0, 'People & Blogs', 57.0, 116712.0, 1.62, 325.0, 139.0, '5huPDklrc-Q', '#NAME?', '3DdibDHGbrY', 'TiA6j_v4258', 'ltJ9CW_Hj_Y', '5AazVXgW1l4', 'yIRJtPrEGvE', 'uCj_v6M-_-w', 'P7spgMp4224', 'ryJVQcG3tXg', 'P2OK53kO1y0', 'CUGgc9QXfx8', 'H1PfCr2XZww', 'gypn1sVtkrE', 'rugDJCceQsA', 'OvEvCOBrUu0', '6uVRXu06A54', 'klZYymzVh4k', '4WnW8hBRR24', 'rcMBoi_TSLw']",242.3814239422225
1706,N-Z5jq6Ez2U,ButterflyJenn,749.0,Pets & Animals,41.0,83927.0,4.05,79.0,130.0,"['N-Z5jq6Ez2U', 'ButterflyJenn', 749.0, 'Pets & Animals', 41.0, 83927.0, 4.05, 79.0, 130.0, 'L6QhIecMjZs', 'lcbhO15SASw', 'MeW7-rqFBNE', 'PJrCTouRcGA', 'XEQXIDbz6Oo', 'HTiQDyVv7KQ', 'JuJYTKnA3e8', 'V7hPZt1kGuQ', 'm5jNVDaf_AM', 'ilQ1e5_CCcM', '8u0m8xnC97s', 'd5Q9WaIQEqI', 'Jr8mdjFa5DE', 'ex27zZio4dM', 'aOpRqF6ban0', 'ZoPwRf4B108', 'CvCBfjRTA_M', 'H945EWlrzkY', 'MXYhn2Wwxhs', 'yia7CbTn__4']",242.103335248686
3007,F0htyAbdd6Q,standaman13fna,616.0,Sports,238.0,67559.0,4.64,227.0,132.0,"['F0htyAbdd6Q', 'standaman13fna', 616.0, 'Sports', 238.0, 67559.0, 4.64, 227.0, 132.0, 'pDJYZZ0thqI', 'yfujWVF_r4c', 'qL8T2IQHy8M', 'rvVYowQZduk', 'WOKzUWguWik', 's2Fd1RAxHAE', '_wirFSGHL7Q', 'xleRNyYl18M', 'EVORo3iynPM', 'inJ2k4mpVCo', 'iv60QeOpqNY', 'QpjhjT2d_Wk', '10Y0hFqt85w', 'fCJjhWf14fY', 'Ugrlzm7fySE', 'Dtpei0-5kQk', 'ZWGdWUKHrpU', 'VeOi2vvQhMk', 'ti-nTDUl_M0', '6m_G0tq2MHg']",241.69414182733567
1638,aoDBacpCX34,somedia,1127.0,Music,177.0,20902.0,4.99,188.0,222.0,"['aoDBacpCX34', 'somedia', 1127.0, 'Music', 177.0, 20902.0, 4.99, 188.0, 222.0, '0oncHBjrmT0', 'xoD4Rw7eCA8', 'oGYt8m2ejck', 'F8GJIqPtJ68', 'cY-PmelkDTU', 'KQweSiiviVQ', 'd2aygFsNDHg', 'x03nM4h2JiM', 'HX9GAXXUCpg', 'xe-f-zg_KIU', 'AqT-K7fm1ks', 'hPIHi7xiecw', 'q0lmKywxNhk', '301YRpjBOF8', 'DRtWcVJckvw', 'Wf8LrKuXFS4', 'fZz3PwQXSbo', 'ysbkuoGkjxA', 'GF03ujScVss', 'jIuCA4RRtXE']",240.57312640412317
69,yhGd25KcOh4,spityogamecom,852.0,Music,187.0,164387.0,4.82,108.0,47.0,"['yhGd25KcOh4', 'spityogamecom', 852.0, 'Music', 187.0, 164387.0, 4.82, 108.0, 47.0, 'G84LhBePK6k', 'N0mskwv1Lg0', 'J52gclijmWw', '_lQxqblSnoY', 'NphGau9YudM', 'UCeA4K2-wNk', 'QXEdjYf5ezY', 'WXTpefj6aSE', 'OvXOQsHelxY', 'S2GXb8li5Xo', 'W3mGs0nVRRA', 'wDWjCY37gJs', 'uDzJrmT4usQ', 'bW75j2ux9ZE', 'FtkJX2o1Kbw', '4lWQSI2Hsyo', 'uenDS4G0B90', '50CVprpDjTA', '074Vba1TW7k', '0medsQpeH6s']",239.98711789254043
1984,l_0pqHzK324,OptionsMonster,998.0,News & Politics,343.0,45150.0,4.85,233.0,194.0,"['l_0pqHzK324', 'OptionsMonster', 998.0, 'News & Politics', 343.0, 45150.0, 4.85, 233.0, 194.0, '#NAME?', 'FwGUTGCvz7I', 'yY6u-sXKGSo', 'srHT9H7cb0I', '4w-TwsvX4q4', 'c-kKmkIyyGw', 'ivREYgodK4I', 'rUO9r36bVsQ', 'DJZTHi3W2nE', 'ip6B-dwMJFs', 'zsjcxM8O5_g', '8GzRWSof8uQ', 'QHHPSXWBytE', 'airxvVmGnqc', 'ph1NRpOHKck', '1eae6fx5sC0', 'CvcrBV0n6qk', 'nWyygiyPbdA', 'Zc21ylpurO4', 'oY0kQzA3AA0']",239.26129641256762
3572,xFNY8r_lrIs,911stealth,921.0,Autos & Vehicles,191.0,85201.0,3.77,61.0,145.0,"['xFNY8r_lrIs', '911stealth', 921.0, 'Autos & Vehicles', 191.0, 85201.0, 3.77, 61.0, 145.0, '2crnOsx4Eks', 'axSnkGueTsE', 'h8mGvFzvwFM', 'E4jrP97NHEE', 'ZlfKtUQcQv0', 'XBm7OcWrumc', 'gpQdrBblw-c', 'InWbKYM2zUc', 'BvGOjcn9J4s', 'DV-zP707-WQ', 'eb4pciG8J2I', '5gHOx5_rBM0', '8Vnu_yiUzls', '_z9r_itnme4', 'V9Mhhvl7vWk', '4gVEhvEnJzk', 'chugiiO6pyk', '3CSeOIiCbKA', 'r3AwEz0K-UI', 'bvisEKeffK0']",237.5710323774942
2552,RM8NWFjkmU4,WaroftheGalaxies,533.0,Entertainment,365.0,48323.0,4.68,139.0,146.0,"['RM8NWFjkmU4', 'WaroftheGalaxies', 533.0, 'Entertainment', 365.0, 48323.0, 4.68, 139.0, 146.0, '9-4IFUak_U0', 'OJi4pQT2Mug', 'hzaZovBC2mo', 'dAkuxb6-gS8', 'ggSlrrFK5SQ', 'eIda0g8baKs', 'qDA-w5Scv9M', 'BcBheRAa2zw', 'PZiqpOZJ9W4', '#NAME?', 'SRSczKvw7ek', 'uTrFGyqV6Fw', '03UoK01NWEw', 'vWuHoce4d8I', nan, nan, nan, nan, nan, nan]",236.69595799532982
2823,V0s1oCLuS-M,nyyankee1202,448.0,Comedy,342.0,46143.0,3.12,81.0,133.0,"['V0s1oCLuS-M', 'nyyankee1202', 448.0, 'Comedy', 342.0, 46143.0, 3.12, 81.0, 133.0, 'Ju7QsQGNNuk', 'KMUEXZvHBPk', 'VWJoF68XYKE', 'aAPZW-L2s-c', '0nCIi69unmY', '_6-CizpoA44', 'zxK6vkSSARs', 'qdRmUwzAp2w', 'fJZj6BFjxvI', 'BgbZg03lULw', 'LrABHyqi91Y', 'zo4FtdFNdJE', 'LNBLP7xhYD8', 'bJ9T9FP6CkE', 'P9DIi1DrrQY', 'HKcHE_VYDus', '0e8rYwB1Meo', 'TBUxeh-cXnA', 'koZrOubvvP4', 'dNIrBi14Hm8']",236.03628637566138
1054,0wWjZO56fqs,jamesthornwielder,1126.0,Music,275.0,16605.0,1.54,180.0,220.0,"['0wWjZO56fqs', 'jamesthornwielder', 1126.0, 'Music', 275.0, 16605.0, 1.54, 180.0, 220.0, 'zbr1EiIC2Ro', 'eZqaY_9ILj8', 'kRc-LpdD_Pk', 'AYAW8hD-kAE', 'oSULsB-4lzY', 'wLn1-mdmwXs', 'mFKlvJK39Pk', 'TdLnmjRuwU0', '6pfzlSpahs8', 'zj8vnlU2rOo', 'Rp198k984Yw', 'uMnekeLTUrw', 'Hh3eHxtIGxw', 'yiOKpuGTVYI', 'q4N-_Moli4s', 'kF1dCVXnJUc', 'HfUtOYqkiVk', 'UEbAJrFXbKo', 'PA8HvcW4Ffo', 'W1czBcnX1Ww']",234.75544720742056
3790,Or-PajUn1c4,mixtapeking91,905.0,Music,597.0,131619.0,4.44,94.0,86.0,"['Or-PajUn1c4', 'mixtapeking91', 905.0, 'Music', 597.0, 131619.0, 4.44, 94.0, 86.0, '1F2uD5BjfEw', '2olI7V1L3FE', 'CfJzyUivMS8', 'NcdNV1pWdT8', 'XbmiE3li0mo', 'mHCxioPKIXY', 'zs0tub17v3E', 'T28Ber3oB4Y', 'PpPabjtVxcg', 'rx_Wl-bTM9U', 'NojLmuup_eM', 'pdSRg84uocA', '3PBWvxsderQ', 'jcC5-phJBsc', nan, nan, nan, nan, nan, nan]",231.4825931585753
