,VID_ID,UPLOADER,INT_AFT_EST(m),CATEGORY,LENGTH(m),NO_OF_VIEWS,RATINGS(/5),NO_OF_RATS,NO_OF_COMS,REL_VID_ID,POPULARITY
1128,EwTZ2xpQwpA,TayZonday,796.0,Music,292.0,16841569.0,4.23,83514.0,129200.0,"['EwTZ2xpQwpA', 'TayZonday', 796.0, 'Music', 292.0, 16841569.0, 4.23, 83514.0, 129200.0, '2x2W12A8Qow', 'P6dUCOS1bM0', 'NattlyH0IeM', 'nTQOpibv_OA', '9mSKBgvHdoE', 'hjD6iigdB-g', 'caIBKOztlAo', 'xUz2YMmiq0k', 'aWY3eYOX3U0', 'mD5_GUovjiM', '1oFS-q8BIps', 'deXAEN70CDY', '0pElTyjfxe0', 'eyDuGwlrFRs', 'm6SjPfc_xNA', 'qYGvGWY1FDs', 'N0amCfgnwY8', 'JPu4uErBFks', 'pgSA-ErKd8c', 'ZZgGGlOGyUg']",150357.75005065018
3799,ZHQibxegCe8,jennabees24,0.0, UNA ,34.0,130276.0,4.55,122.0,96.0,"['ZHQibxegCe8', 'jennabees24', 0.0, ' UNA ', 34.0, 130276.0, 4.55, 122.0, 96.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",130276.0
2161,_SwwPoDW0dc,companx7400,0.0, UNA ,13.0,120030.0,3.45,93.0,90.0,"['_SwwPoDW0dc', 'companx7400', 0.0, ' UNA ', 13.0, 120030.0, 3.45, 93.0, 90.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",120030.0
503,Bizjbag0Em0,elena019,0.0, UNA ,354.0,93449.0,3.93,99.0,10.0,"['Bizjbag0Em0', 'elena019', 0.0, ' UNA ', 354.0, 93449.0, 3.93, 99.0, 10.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",93449.0
3789,X5aSYioJa8s,MULTICULT,0.0, UNA ,339.0,91141.0,4.44,61.0,28.0,"['X5aSYioJa8s', 'MULTICULT', 0.0, ' UNA ', 339.0, 91141.0, 4.44, 61.0, 28.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",91141.0
105,O27r2zYVIhw,mrpregnant,0.0, UNA ,300.0,87835.0,3.53,680.0,251.0,"['O27r2zYVIhw', 'mrpregnant', 0.0, ' UNA ', 300.0, 87835.0, 3.53, 680.0, 251.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",87835.0
3880,4DC4Rb9quKk,ChrisBrownTV,933.0,Music,265.0,33754615.0,4.84,73257.0,50036.0,"['4DC4Rb9quKk', 'ChrisBrownTV', 933.0, 'Music', 265.0, 33754615.0, 4.84, 73257.0, 50036.0, 'OqumjziPTzk', '1Hcd4ryjS-U', 'j7nA9S4GvSQ', 'Md6rURKhZmA', 'dLfT5uwkFxE', 'xaYiv-mDOwo', 'Oy-nqyfR_w4', 'a1fZHmIggc8', '#NAME?', 'R_C4aWwznNQ', 'mpxw0iCP4q4', 'gY-zTUCxgD0', 'A2f3cuUXXRs', 'FxTMfsRQIng', 'ktUSIJEiOug', 'veYbj2zypaM', 'hRfk5Di6kBs', 'vum3qgoh0x4', '8hvEsCUj0xQ', 'kE_UwwiCgjM']",86214.57991601518
3792,KHKdoil7fOU,FS0523,0.0, UNA ,63.0,78261.0,4.6,87.0,16.0,"['KHKdoil7fOU', 'FS0523', 0.0, ' UNA ', 63.0, 78261.0, 4.6, 87.0, 16.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",78261.0
969,irp8CNj9qBI,Frozentoast,215.0,Music,349.0,10172172.0,4.9,43774.0,29330.0,"['irp8CNj9qBI', 'Frozentoast', 215.0, 'Music', 349.0, 10172172.0, 4.9, 43774.0, 29330.0, 'cxbFLYa0_bw', 'iikKzQwgBJc', '4ADh8Fs3YdU', '58CJih1iYC0', 'sogKUx_q7ig', 'hMenB9Ywh2Q', 'MMz-wi50ACU', 'C7FGPIRJx6I', 'EVYgRPfC9nQ', '7GFpMb0sOaw', 'veTm1sZz2eo', 'pZ9jrBg4Lwc', 'NCo1OVNbYFQ', 'IOyEw9bT8yQ', 'CO9UN6hfCS4', 'UdaHCLlBkWU', 'EUfE993iucg', '4d1pUTRon4Q', '2CTPLUcQAjk', 'QtqADo-D3mQ']",76642.42801891534
2873,F2eNWYFYnqg,indiadating,0.0, UNA ,229.0,75449.0,3.85,41.0,82.0,"['F2eNWYFYnqg', 'indiadating', 0.0, ' UNA ', 229.0, 75449.0, 3.85, 41.0, 82.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",75449.0
3807,iXZsQHrexis,crazyhorsebear,0.0, UNA ,89.0,68113.0,3.5,44.0,13.0,"['iXZsQHrexis', 'crazyhorsebear', 0.0, ' UNA ', 89.0, 68113.0, 3.5, 44.0, 13.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",68113.0
3804,UwMYtIJjXhg,englishboi123,0.0, UNA ,95.0,66011.0,3.9,20.0,7.0,"['UwMYtIJjXhg', 'englishboi123', 0.0, ' UNA ', 95.0, 66011.0, 3.9, 20.0, 7.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",66011.0
3690,LU8DDYz68kM,Jason275,807.0,Pets & Animals,503.0,27721690.0,4.88,58850.0,24004.0,"['LU8DDYz68kM', 'Jason275', 807.0, 'Pets & Animals', 503.0, 27721690.0, 4.88, 58850.0, 24004.0, 'VryQDsx5Ad8', '_BtMuSjnGcY', 'r8ZHJZFIAAg', 't5uxXAZNii8', 'OUrxqSF0tow', '1a4-jwXejc0', 'h1FivamFXms', 'LB4iy0Hsc3Y', '2cyu7tUEgs4', 'sDYxC2r3ttw', 'fI1RH1VhlYI', 'trQP5TtG_SY', 'YOE4RzS7JPY', '3ZUzsKxeXcs', 'SWWTpkX-d4Y', 'UyJuZef9r9c', 'wKsoXHYICqU', '3bauNwVHmbM', 'a2iMGU_Q3Yg', 'nlNORX006-c']",58355.53663806519
1763,Qit3ALTelOo,smpfilms,932.0,Pets & Animals,210.0,7939352.0,4.76,56767.0,39418.0,"['Qit3ALTelOo', 'smpfilms', 932.0, 'Pets & Animals', 210.0, 7939352.0, 4.76, 56767.0, 39418.0, 'DpA2tMrQ4RU', 'UaRDmY5nMgM', 'lwxrTU2-Pmo', 'bJD2mfpN-xQ', 'XbndlFLvEno', 'UDJNuypavq8', 'dQqingUyRWg', 'CjUTnQKrFgQ', 'lIK5Gn5HbnU', 'RoBKq_RRoCM', 'Kxa0mnDj0bs', 'Zi9GOvR3Ynw', 'Luxgpavp6V0', 'UOY0cXOq3a8', 'hAYhfDSbWIY', 'akVsujx3K3o', 'BhhiO8ZIols', 'HYokLWfqbaU', '3RWbzcWsbPc', 'jiVlPacknvc']",47936.618109602605
